Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
260,Soriana bosques puebla: Pack de leches (2 Santa Clara deslactosada 1L + Leche de Almendra Ades 1L),50.0,,False,Soriana,Fermin_Rodriguez,2021-10-25,Local,https://www.promodescuentos.com/ofertas/pack-de-leches-662691,Abarrotes y alimentos,Alimentos,Bebidas,,,,,,
168,Soriana Híper y Súper: Martes y Miércoles del Campo 26 y 27 Octubre: Melón ó Pepino $14.80 kg.,,,False,Soriana,vlma,2021-10-25,,https://www.promodescuentos.com/ofertas/soriana-hiper-y-super-martes-y-miercoles-del-campo-26-y-27-octubre-662714,Abarrotes y alimentos,Alimentos,Frutas y verduras,,,,,,
344,Walmart: Martes de Frescura 26 Octubre: Naranja $9.50 kg... Jitomate $19.90 kg... Manzana Red ó Perón Golden $32.90 kg.,,,False,Walmart,vlma,2021-10-25,,https://www.promodescuentos.com/ofertas/walmart-martes-de-frescura-26-octubre-662713,Abarrotes y alimentos,Alimentos,Frutas y verduras,,,,,,
-738,Amazon: Grand Theft Auto: The Trilogy - The Definitive Edition - Playstation 4,1299.0,,True,Amazon,Aldu2416,2021-10-25,,https://www.promodescuentos.com/ofertas/preventa-grand-theft-auto-the-trilogy-playstation-4-662709,Videojuegos,Juegos,Juegos de PS4,PlayStation,,,,,
401,Chedraui Aguacate Hass kg,20.0,,False,Chedraui,Omar.bahena12,2021-10-25,Local,https://www.promodescuentos.com/ofertas/chedraui-aguacate-hass-kg-662707,Abarrotes y alimentos,Alimentos,,,,,,,
308,Amazon: Apple Mac Mini M1 512 SSD 8 GB RAM (2020),20999.0,23499.0,True,Amazon,Adriansandoval97,2021-10-25,,https://www.promodescuentos.com/ofertas/apple-mac-mini-m1-512-ssd-8-gb-ram-2020-662703,Tecnología,Computadoras y tablets,Apple,,,,,,
672,Amazon: variedad de cortinas con descuento,165.0,,True,Amazon,irvin.uscangaponce,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-variedad-de-cortinas-con-descuento-662704,Hogar,Decoración y accesorios para el hogar,,,,,,,
976,"Pokemon Go Día de Muertos: GRATIS 45 Poké Balls, 4 Inciensos, 1 Pokocho, 1 Pase de Incursión Remota y Camiseta del Día de Muertos (01/11)",,,False,,rpunk77,,,https://www.promodescuentos.com/ofertas/pokemon-go-dia-de-muertos-gratis-45-poke-balls-4-inciensos-1-pikocho-1-pase-de-incursion-remota-y-camiseta-del-dia-de-muertos-0111-662701,Entretenimiento y tiempo libre,Juegos,Pokémon,,,,,,
-187,Amazon: Razer Kaira Pro,2425.0,,True,Amazon,Ivan_Valdez,2021-10-25,United States,https://www.promodescuentos.com/ofertas/razer-kaira-pro-662700,Tecnología,Audífonos,Accesorios de videojuegos para PC,Headset,,,,,
333,Amazon: Chefman | Horno Freidora de Aire de 25 Litros,2974.0,4499.0,True,Amazon,linda.lozanotorres,2021-10-25,United States,https://www.promodescuentos.com/ofertas/chefman-horno-freidora-de-aire-de-25-litros-662699,Hogar,Electrodomésticos,Pequeños electrodomésticos,Freidoras,Freidoras de aire,,,,
