Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
168,"Nintendo, Devil May Cry 3 Edición especial switch",72.0,,False,Nintendo,Asael_Leon,2021-10-26,,https://www.promodescuentos.com/ofertas/devil-may-cry-3-edicion-especial-662905,Videojuegos,Juegos,Juegos de Nintendo Switch,Nintendo,,,,,,,,
246,"Costco, Apple Pencil (Segunda Generación)",2799.0,3199.0,False,Costco,El_Rey_Mufasa,2021-10-26,Local,https://www.promodescuentos.com/ofertas/apple-pencil-segunda-generacion-662899,Tecnología,Apple,,,,,,,,,,
343,Suburbia Wolfenstein Switch,299.0,,False,Suburbia,AlexFD23,2021-10-26,Local,https://www.promodescuentos.com/ofertas/suburbia-wolfenstein-switch-662904,Videojuegos,Juegos,Juegos de Nintendo Switch,,,,,,,,,
276,"Liquidaciones Bodega Aurrera, ZTE blade, electrodomésticos, colchon matrimonial, etc",1391.0,,False,BodegaAurrera,Ev_el,2021-10-26,,https://www.promodescuentos.com/ofertas/liquidaciones-bodega-aurrera-zte-blade-electrodomesticos-colchon-matrimonial-etc-662903,Hogar,Celulares,Celulares y telefonía,Electrodomésticos,Muebles,Recámara,Colchones,,,,,
115,Amazon Vegeta Majin Funko Pop,264.0,,False,Amazon,JuanCarlos_Herrera,2021-10-26,United States,https://www.promodescuentos.com/ofertas/vegeta-majin-funko-pop-662902,"Familia, bebés y niños",Juguetes,Figuras de acción y playsets,Funko,,,,,,,,
-34,Walmart: cámara fujifilm instax sq9,1995.0,,False,Walmart,Oscar_HurTa,2021-10-26,,https://www.promodescuentos.com/ofertas/walmart-camara-fujifilm-instax-sq9-662901,Tecnología,Cámaras y fotografía,Cámaras,,,,,,,,,
263,"Amazon, Cesta de lavandería de malla plegable (2 piezas)",199.0,499.0,False,Amazon,iDavidVA,2021-10-26,,https://www.promodescuentos.com/ofertas/cesta-de-lavanderia-de-malla-plegable-2-piezas-662898,Hogar,Decoración y accesorios para el hogar,,,,,,,,,,
193,"Office Depot, Diadema Hyper X Pro Gaming Headset",1000.0,,False,OfficeDepot,rodr3ck,2021-10-26,,https://www.promodescuentos.com/ofertas/diadema-hyper-x-pro-gaming-headset-662895,Tecnología,Computadoras y tablets,Accesorios de PC,Headset,,,,,,,,
287,"Amazon, Cable Lightning a salida HDMI marca Apple",674.0,,False,Amazon,Joseph_Paz,2021-10-26,,https://www.promodescuentos.com/ofertas/cable-lightning-a-salida-hdmi-marca-apple-662892,Tecnología,Accesorios electrónicos,Cables,Apple,,,,,,,,
335,"Radioshark: 2x1 en smart home, camara lloyds 2x$1599",800.0,1599.0,False,RadioShack,FerOos,2021-10-26,Mexico,https://www.promodescuentos.com/ofertas/radioshark-2x1-en-smart-home-camara-lloyds-2x1599-662890,Tecnología,Hogar inteligente,Seguridad para el hogar,,,,,,,,,
