Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
-201,INNVICTUS Outlet -%50 Sandalias,1449.0,2899.0,False,Innvictus,ChicoChé_QuiénPómpo,2021-10-27,,https://www.promodescuentos.com/ofertas/innvictus-663196,Ropa y accesorios,Calzado,Sandalias,,,,,,,,,
265,Amazon: Kingston Fury Impact 16GB Kit (2x8GB) DDR4,1371.0,2081.0,False,Amazon,MiguelAngelMireles,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-kingston-fury-impact-16gb-kit-2x8gb-ddr4-663194,Tecnología,Computadoras y tablets,Computadoras armadas,Memoria RAM,,,,,,,,
234,"Amazon: MacBook Pro Chip M1 de (de 13 Pulgadas, 8 GB RAM, 256 GB SSD) - Gris Espacial",28999.0,34499.0,False,Amazon,roberto.poncenxS,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-macbook-pro-chip-m1-de-de-13-pulgadas-8-gb-ram-256-gb-ssd-gris-espacial-663193,Tecnología,Computadoras y tablets,Laptops,Apple,MacBook,MacBook Pro,,,,,,
550,"Amazon: XPG SX8200 Pro 256 GB SSD, 3500MB/s de lectura y 3000MB/s de escritura",699.0,,False,Amazon,rpunk77,,,https://www.promodescuentos.com/ofertas/amazon-xpg-sx8200-pro-256-gb-ssd-3500mbs-de-lectura-y-3000mbs-de-escritura-659158,Tecnología,Computadoras y tablets,Hobbies y manualidades,Computadoras armadas,SSD,,,,,,,
355,Suburbia Laptop Honor,13999.0,,False,Suburbia,arellanoyvan.martinez,2021-10-27,,https://www.promodescuentos.com/ofertas/honor-663192,Tecnología,Computadoras y tablets,Laptops,,,,,,,,,
274,Boleto Power Ball: Premio $102 Millones USD,39.0,130.0,False,,rpunk77,2021-10-27,,https://www.promodescuentos.com/ofertas/boleto-power-ball-premio-102-millones-usd-663191,Entretenimiento y tiempo libre,Boletos y eventos,,,,,,,,,,
490,"Amazon Kindle (gratis) LAS CRÓNICAS DE MOSTUR #2, LA ANTIGUA ROMA y más...",0.0,73.0,False,Amazon,m21t,2021-10-27,,https://www.promodescuentos.com/ofertas/amazon-kindle-gratis-belial-la-antigua-roma-las-cronicas-de-mostur-2-y-mas-663189,Entretenimiento y tiempo libre,Libros y revistas,Libros,Ebooks,,,,,,,,
167,Amazon: Audífonos JBL Quantum 400,1380.0,,False,Amazon,Daniel_ArcosNgz,2021-10-27,,https://www.promodescuentos.com/ofertas/audifonos-jbl-quantum-400-663187,Tecnología,Audio y equipos de sonido,Audífonos,Audífonos JBL,,,,,,,,
-194,"Costco: Apple Magic Keyboard Blanco para iPad Pro 11"" o Air en oferta",5699.0,7199.0,False,Costco,AFutureC,2021-10-27,,https://www.promodescuentos.com/ofertas/costco-apple-magic-keyboard-blanco-para-ipad-pro-11-o-air-en-oferta-663186,Tecnología,Computadoras y tablets,Tablets,Apple,iPad,,,,,,,
687,"Costco, Apple Watch SE (GPS) Caja de Aluminio Oro 40 mm con correa deportiva rosa arena",5999.0,,False,Costco,Isa_Ramírez,2021-10-27,,https://www.promodescuentos.com/ofertas/apple-watch-se-gps-caja-de-aluminio-oro-40-mm-con-correa-deportiva-rosa-arena-663185,Tecnología,Wearables,Smartwatch,Apple,Apple Watch,,,,,,,
