Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
66,Amazon Buen Fin 2021: Sico Invisible Ultra Sense Condones Paquete con 36 Piezas,463.0,,False,Amazon,rpunk77,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-buen-fin-2021-sico-invisible-ultra-sense-condones-paquete-con-36-piezas-668313,Salud y belleza,Adultos,Preservativos,,,,,,
118,Nike | Jordan Air NFH,1889.0,2699.0,True,Nike,Elías_LópezLópez,2021-11-10,,https://www.promodescuentos.com/ofertas/jordan-air-nfh-nike-668501,Ropa y accesorios,Calzado,Tenis,Nike,,,,,
74,"Chedraui: $250 de descueno por cada $1,000 de compra en telefonía celular Telcel, AT&T (Excepto iPhone y Samsung)",,,False,Chedraui,vlma,2021-11-10,,https://www.promodescuentos.com/ofertas/chedraui-250-por-cada-1000-de-compra-en-telefonia-celular-telcel-att-excepto-iphone-y-samsung-668499,Internet y telefonía celular,Celulares,Celulares y telefonía,Telefonía celular,,,,,
40,Amazon: Cantina de Mos Eisley Lego Star Wars,5417.0,,False,Amazon,Tyron123.,2021-11-10,,https://www.promodescuentos.com/ofertas/cantina-de-mos-eisley-lego-star-wars-668497,"Familia, bebés y niños",Juguetes,Lego,,,,,,
-21,Apple AirPods MAX - Color Plata precio con 30% de descuento con Banorte,7326.0,,True,Amazon,iFxStrange,2021-11-10,,https://www.promodescuentos.com/ofertas/apple-airpods-max-color-plata-668492,Tecnología,Audio y equipos de sonido,Audífonos,Apple,,,,,
-33,Amazon: Xiaom Redmi 9A 64 GB 4 Ram Negro Dual Sim + Slot Micro SD Desbloqueado,3009.0,,True,Amazon,Erick_Munguía9,2021-11-10,,https://www.promodescuentos.com/ofertas/oferta-por-tiempo-limitado-xiaomi-redmi-9a-64-gb-4-ram-negro-dual-sim-slot-micro-sd-desbloqueado-668493,Tecnología,Celulares,Celulares y telefonía,Xiaomi,Celulares Xiaomi,,,,
314,Amazon: Nintendo Consola Switch Neon 32GB Version 1.1 pagando con HSBC,4743.0,,True,Amazon,xlulogcx,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-nintendo-consola-switch-neon-32gb-version-11-pagando-con-hsbc-668490,Videojuegos,Consolas,Consola Nintendo Switch,Nintendo,,,,,
298,"LIVERPOOL | SAMSUNG GALAXY S21 PLUS 128GB | TDC BANORTE DIGITAL | ($12,723 con POCKETMENOS5)",13393.0,18393.0,True,Liverpool,Ojuela,2021-11-10,,https://www.promodescuentos.com/ofertas/liverpool-samsung-galaxy-s21-plus-128gb-tdc-banorte-digital-668486,Tecnología,Celulares,Celulares y telefonía,Celulares Samsung,Samsung Galaxy S21 Plus,,,,
264,LIVERPOOL | SAMSUNG GALAXY S21 ULTRA 128GB | TDC BANORTE DIGITAL | $17778 con POCKETMENOS5,18715.0,23715.0,True,Liverpool,Ojuela,2021-11-10,,https://www.promodescuentos.com/ofertas/liverpool-samsung-galaxy-s21-ultra-128gb-tdc-banorte-digital-668487,Tecnología,Celulares,Celulares y telefonía,Celulares Samsung,Samsung Galaxy S21 Ultra,,,,
588,AMAZON | Xbox Series X (BANORTE DIGITAL),9799.0,13999.0,True,Amazon,Ojuela,2021-11-10,,https://www.promodescuentos.com/ofertas/amazon-xbox-series-x-banorte-digital-668485,Videojuegos,Consolas,Xbox,Consola Xbox Series X,,,,,
